Drug,Condition,Recommendation,Rationale
Estrogen/Medroxyprogesterone,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Estropipate,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Estrogen,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Estradiol,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Doxazosin,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Prazosin,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Terazosin,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Disopyramide,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Pyrilamine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Triprolidine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Amitriptyline,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Amoxapine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Clomipramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Desipramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Doxepin (>6 mg),Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Darifenacin,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Imipramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Fesoterodine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Nortriptyline,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Flavoxate,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Paroxetine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Oxybutynin,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Protriptyline,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Solifenacin,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Trimipramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Tolterodine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Trospium,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Prochlorperazine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Promethazine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Benztropine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Trihexyphenidyl,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Brompheniramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Carbinoxamine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Chlorpromazine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Chlorpheniramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Clozapine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Clemastine/Loxapine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Cyproheptadine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Olanzapine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Dexbrompheniramine/Perphenazine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Dexchlorpheniramine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Thioridazine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Dimenhydrinate,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
Trifluoperazine,Benign prostatic hyperplasia (BPH),Avoid in men unless antimuscarinics are being used for urinary incontinence,May decrease urinary flow and cause urinary retention
